Part,Value,Place,Package,Description
RDIR_B1,blue,CHIP COMPONENT,CHIPLED_1206,LED
RDIR_F1,blue,CHIP COMPONENT,CHIPLED_1206,LED
LED10_GREEN,green,CHIP COMPONENT,CHIPLED_1206,LED
IC3,LM358D,CHIP COMPONENT,SO08,OP AMP also LM158; LM258; LM2904
LED11_RED,red,CHIP COMPONENT,CHIPLED_1206,LED
LED1,white,CHIP COMPONENT,CHIPLED_1206,LED
LED2,yellow,CHIP COMPONENT,CHIPLED_1206,LED
LED3,yellow,CHIP COMPONENT,CHIPLED_1206,LED
C1_THROUGHHOLE,1000uf,GALA ELECTRONICS,C050-045X075,"CAPACITOR, European symbol"
POT_10K,10k,GALA ELECTRONICS,RTRIMT93YA,Trimm resistor
IC2,7805DT,GALA ELECTRONICS,TO252,Positive VOLTAGE REGULATOR
JP5,battery input,GALA ELECTRONICS,1X02,PIN HEADER
Q2,BC548,GALA ELECTRONICS,TO92-EBC,NPN Transistor
Q3,BC548,GALA ELECTRONICS,TO92-EBC,NPN Transistor
SV3,extender,GALA ELECTRONICS,MA04-2,PIN HEADER
SV1,isp programming,GALA ELECTRONICS,MA05-2,PIN HEADER
BUZ1,KS-12065D03YA,GALA ELECTRONICS,BZ2-7.6-D12.0XH6.5MM,312010004
IC1,L293D,GALA ELECTRONICS,DIL16,PUSH-PULL 4 CHANNEL DRIVER
JP3,lcd port,GALA ELECTRONICS,1X16,PIN HEADER
JP2,left_motor,GALA ELECTRONICS,1X02,PIN HEADER
ENC_LEFT,MOC7811,GALA ELECTRONICS,THROUGH_HOLE_NORMAL,"MOC7811 is a slotted opto isolator 
module, with an IR transmitter and
 a photodiode mounted on it.
 Performs Non-Contact Object 
Sensing"
ENC_RIGHT,MOC7811,GALA ELECTRONICS,THROUGH_HOLE_NORMAL,"MOC7811 is a slotted opto isolator 
module, with an IR transmitter
 and a photodiode mounted on it. 
Performs Non-Contact Object
 Sensing"
JP9,reset switch,GALA ELECTRONICS,JP1,JUMPER
JP1,right_motor,GALA ELECTRONICS,1X02,PIN HEADER
IR1,,GALA ELECTRONICS,LED5MM,LED
IR14,,GALA ELECTRONICS,LED5MM,LED
IR15,,GALA ELECTRONICS,LED5MM,LED
IR16,,GALA ELECTRONICS,LED5MM,LED
IR17,,GALA ELECTRONICS,LED5MM,LED
IR18,,GALA ELECTRONICS,LED5MM,LED
IR19,,GALA ELECTRONICS,LED5MM,LED
IR2,,GALA ELECTRONICS,LED5MM,LED
IR20,,GALA ELECTRONICS,LED5MM,LED
IR21,,GALA ELECTRONICS,LED5MM,LED
IR22,,GALA ELECTRONICS,LED5MM,LED
IR3,,GALA ELECTRONICS,LED5MM,LED
IR5,,GALA ELECTRONICS,LED5MM,LED
IR6,,GALA ELECTRONICS,LED5MM,LED
IR7,,GALA ELECTRONICS,LED5MM,LED
IR8,,GALA ELECTRONICS,LED5MM,LED
LCD,,GALA ELECTRONICS,,
Q1,,GALA ELECTRONICS,Q,CRYSTAL
BO MOTOR,,GALA ELECTRONICS,2,
CASTER WHEEL,,GALA ELECTRONICS,2,
L – CLAMPS,,GALA ELECTRONICS,2,
JP8,battery switch,NIL,JP1,JUMPER
JP6,buzzer charged,NIL,JP1,JUMPER
JP7,buzzer discharged,NIL,JP1,JUMPER
JP4,lcd display,NIL,JP1,JUMPER
,,,,
,,,COST PER BOT,
,,,TOTAL COST,
